"","EVTYPE"
"1","TORNADO"
"2","TSTM WIND"
"3","HAIL"
"4","FREEZING RAIN"
"5","SNOW"
"6","ICE STORM/FLASH FLOOD"
"7","SNOW/ICE"
"8","WINTER STORM"
"9","HURRICANE OPAL/HIGH WINDS"
"10","THUNDERSTORM WINDS"
"11","RECORD COLD"
"12","HURRICANE ERIN"
"13","HURRICANE OPAL"
"14","HEAVY RAIN"
"15","LIGHTNING"
"16","THUNDERSTORM WIND"
"17","DENSE FOG"
"18","RIP CURRENT"
"19","THUNDERSTORM WINS"
"20","FLASH FLOOD"
"21","FLASH FLOODING"
"22","HIGH WINDS"
"23","FUNNEL CLOUD"
"24","TORNADO F0"
"25","THUNDERSTORM WINDS LIGHTNING"
"26","THUNDERSTORM WINDS/HAIL"
"27","HEAT"
"28","WIND"
"29","LIGHTING"
"30","HEAVY RAINS"
"31","LIGHTNING AND HEAVY RAIN"
"32","FUNNEL"
"33","WALL CLOUD"
"34","FLOODING"
"35","THUNDERSTORM WINDS HAIL"
"36","FLOOD"
"37","COLD"
"38","HEAVY RAIN/LIGHTNING"
"39","FLASH FLOODING/THUNDERSTORM WI"
"40","WALL CLOUD/FUNNEL CLOUD"
"41","THUNDERSTORM"
"42","WATERSPOUT"
"43","EXTREME COLD"
"44","HAIL 1.75)"
"45","LIGHTNING/HEAVY RAIN"
"46","HIGH WIND"
"47","BLIZZARD"
"48","BLIZZARD WEATHER"
"49","WIND CHILL"
"50","BREAKUP FLOODING"
"51","HIGH WIND/BLIZZARD"
"52","RIVER FLOOD"
"53","HEAVY SNOW"
"54","FREEZE"
"55","COASTAL FLOOD"
"56","HIGH WIND AND HIGH TIDES"
"57","HIGH WIND/BLIZZARD/FREEZING RA"
"58","HIGH TIDES"
"59","HIGH WIND AND HEAVY SNOW"
"60","RECORD COLD AND HIGH WIND"
"61","RECORD HIGH TEMPERATURE"
"62","RECORD HIGH"
"63","HIGH WINDS HEAVY RAINS"
"64","HIGH WIND/ BLIZZARD"
"65","ICE STORM"
"66","BLIZZARD/HIGH WIND"
"67","HIGH WIND/LOW WIND CHILL"
"68","HEAVY SNOW/HIGH"
"69","RECORD LOW"
"70","HIGH WINDS AND WIND CHILL"
"71","HEAVY SNOW/HIGH WINDS/FREEZING"
"72","LOW TEMPERATURE RECORD"
"73","AVALANCHE"
"74","MARINE MISHAP"
"75","WIND CHILL/HIGH WIND"
"76","HIGH WIND/WIND CHILL/BLIZZARD"
"77","HIGH WIND/WIND CHILL"
"78","HIGH WIND/HEAVY SNOW"
"79","HIGH TEMPERATURE RECORD"
"80","FLOOD WATCH/"
"81","RECORD HIGH TEMPERATURES"
"82","HIGH WIND/SEAS"
"83","HIGH WINDS/HEAVY RAIN"
"84","HIGH SEAS"
"85","SEVERE TURBULENCE"
"86","RECORD RAINFALL"
"87","RECORD SNOWFALL"
"88","RECORD WARMTH"
"89","HEAVY SNOW/WIND"
"90","EXTREME HEAT"
"91","WIND DAMAGE"
"92","DUST STORM"
"93","APACHE COUNTY"
"94","SLEET"
"95","HAIL STORM"
"96","FUNNEL CLOUDS"
"97","FLASH FLOODS"
"98","DUST DEVIL"
"99","EXCESSIVE HEAT"
"100","THUNDERSTORM WINDS/FUNNEL CLOU"
"101","WINTER STORM/HIGH WIND"
"102","WINTER STORM/HIGH WINDS"
"103","GUSTY WINDS"
"104","STRONG WINDS"
"105","FLOODING/HEAVY RAIN"
"106","SNOW AND WIND"
"107","HEAVY SURF COASTAL FLOODING"
"108","HEAVY SURF"
"109","HEAVY PRECIPATATION"
"110","URBAN FLOODING"
"111","HIGH SURF"
"112","BLOWING DUST"
"113","URBAN/SMALL"
"114","WILD FIRES"
"115","HIGH"
"116","URBAN/SMALL FLOODING"
"117","WATER SPOUT"
"118","HIGH WINDS DUST STORM"
"119","WINTER STORM HIGH WINDS"
"120","LOCAL FLOOD"
"121","WINTER STORMS"
"122","MUDSLIDES"
"123","RAINSTORM"
"124","SEVERE THUNDERSTORM"
"125","SEVERE THUNDERSTORMS"
"126","SEVERE THUNDERSTORM WINDS"
"127","THUNDERSTORMS WINDS"
