EVTYPE,NEWEVTYPE,count
WINTRY MIX,WINTER STORM,4
WINTER WEATHER/MIX,WINTER STORM,139
WINTER WEATHER MIX,WINTER STORM,2
WINTER WEATHER,WINTER STORM,407
WINTER STORMS,WINTER STORM,1
WINTER STORM HIGH WINDS,WINTER STORM,1
WINTER STORM,WINTER STORM,1507
WINDS,WIND,18
WIND/HAIL,WIND,1
WIND STORM,WIND,1
WIND DAMAGE,WIND,9
WIND AND WAVE,WIND,1
WIND,WIND,84
WILDFIRES,FIRE,3
WILDFIRE,FIRE,857
WILD/FOREST FIRES,FIRE,1
WILD/FOREST FIRE,FIRE,388
WILD FIRES,FIRE,4
WHIRLWIND,WIND,3
WET MICROBURST,WATER,3
WATERSPOUT-TORNADO,TORNADO,1
WATERSPOUT/TORNADO,TORNADO,6
WATERSPOUT/ TORNADO,TORNADO,1
WATERSPOUT TORNADO,TORNADO,1
WATERSPOUT-,TORNADO,7
WATERSPOUT,TORNADO,47
WARM WEATHER,HEAT,1
VOLCANIC ASH,VOLCANO,2
URBAN/SML STREAM FLD,FLOOD,702
URBAN/SMALL STREAM FLOOD,FLOOD,9
URBAN/SMALL STREAM,FLOOD,1
URBAN SMALL,FLOOD,1
URBAN FLOODS,FLOOD,2
URBAN FLOODING,FLOOD,80
URBAN FLOOD,FLOOD,139
URBAN AND SMALL STREAM FLOODIN,FLOOD,1
URBAN AND SMALL,FLOOD,1
UNSEASONAL RAIN,RAIN,2
UNSEASONABLY WARM AND DRY,HEAT,1
UNSEASONABLY WARM,HEAT,7
UNSEASONABLY COLD,COLD,4
UNSEASONABLE COLD,COLD,1
TYPHOON,HURRICANE,9
TUNDERSTORM WIND,THUNDERSTORM,1
TSUNAMI,TSUNAMI,14
TSTMW,THUNDERSTORM,1
TSTM WINDS,THUNDERSTORM,5
TSTM WIND/HAIL,THUNDERSTORM,441
TSTM WIND G58,THUNDERSTORM,1
TSTM WIND G45,THUNDERSTORM,1
TSTM WIND DAMAGE,THUNDERSTORM,1
TSTM WIND AND LIGHTNING,THUNDERSTORM,1
TSTM WIND 65),THUNDERSTORM,1
TSTM WIND 55,THUNDERSTORM,2
TSTM WIND 45,THUNDERSTORM,1
TSTM WIND 40,THUNDERSTORM,1
TSTM WIND (G45),THUNDERSTORM,36
TSTM WIND (G40),THUNDERSTORM,9
TSTM WIND (G35),THUNDERSTORM,1
TSTM WIND (41),THUNDERSTORM,1
TSTM WIND  (G45),THUNDERSTORM,1
TSTM WIND,THUNDERSTORM,62417
TROPICAL STORM JERRY,TROPICAL STORM,2
TROPICAL STORM GORDON,TROPICAL STORM,1
TROPICAL STORM DEAN,TROPICAL STORM,1
TROPICAL STORM ALBERTO,TROPICAL STORM,1
TROPICAL STORM,TROPICAL STORM,416
TROPICAL DEPRESSION,TROPICAL STORM,35
TORRENTIAL RAINFALL,RAIN,1
TORNDAO,TORNADO,1
"TORNADOES, TSTM WIND, HAIL",TORNADO,1
TORNADOES,TORNADO,2
TORNADO F3,TORNADO,2
TORNADO F2,TORNADO,2
TORNADO F1,TORNADO,4
TORNADO F0,TORNADO,5
TORNADO,TORNADO,16282
TIDAL FLOODING,TIDAL FLOODING,4
THUNERSTORM WINDS,THUNDERSTORM,1
THUNDERTORM WINDS,THUNDERSTORM,3
THUNDERSTROM WIND,THUNDERSTORM,1
